id_DC	id_CL	Feldname
	customfield_10026	[CHART] Date of First Response
	customfield_10027	[CHART] Time in Status
customfield_12002	customfield_10410	Abschlussberichtsnummer
customfield_12001	customfield_10417	AbschlussberichtsnummerIntern
customfield_10239	customfield_10246	Abschlussbericht-Status
	customfield_10009	Actual end
	customfield_10008	Actual start
	customfield_10563	Agentensitzungen
customfield_10415	customfield_10427	Anmeldung
customfield_11806	customfield_10271	Anrede
customfield_10331	customfield_10346	Ansprechpartner
	customfield_10003	Approvers
	customfield_10136	Arbeitskategorie
customfield_10604	customfield_10393	Art des Unternehmens
customfield_11807	customfield_10458	AS Berater
customfield_10324	customfield_10207	AS-Referenz
customfield_10325	customfield_10239	Auf richtigem Weg
customfield_10297	customfield_10238	Auftrag mail comment
customfield_10426	customfield_10218	Auftrag mail comment 1
customfield_10427	customfield_10248	Auftrag mail comment 2
customfield_10231	customfield_10236	Auftragsbeginn
customfield_11448	customfield_10223	Auftragsbest�tigung
customfield_11513	customfield_10226	Auftragsbest�tigung-Status
customfield_10229	customfield_10459	Auftragsende
customfield_12101	customfield_10256	Auftragsentwurf
customfield_10230	customfield_10200	Auftragsnummer
customfield_10232	customfield_10208	Auftragsstatus
customfield_10432	customfield_10382	Auftragstyp
customfield_10701	customfield_10457	Automatic Empfangsbestatigung
customfield_10293	customfield_10433	Bank Konto BIC
customfield_10292	customfield_10436	Bank Konto IBAN
customfield_10289	customfield_10435	Bank Name
customfield_10260	customfield_10237	Bearbeiter (Mitglieder)
customfield_13500	customfield_10362	Bearbeiter (Partner)
customfield_12803	customfield_10359	Beginndatum
customfield_12902	customfield_10412	Bei Nein, warum
customfield_10333	customfield_10370	Bemerkung
customfield_10310	customfield_10408	Beratung vollst�ndig durchgef�hrt (Bei Nein, konnte helfen?)
customfield_11301	customfield_10379	Beratungsfall
customfield_11457	customfield_10255	Betrag 1
customfield_11459	customfield_10376	Betrag 2
customfield_11461	customfield_10383	Betrag 3
customfield_11463	customfield_10384	Betrag 4
customfield_11465	customfield_10385	Betrag 5
customfield_11467	customfield_10381	Betrag 6
customfield_13100	customfield_10380	Bezahldatum
customfield_10202	customfield_10210	Bezahlstatus
customfield_12605	customfield_10278	Bildverwertung in Medien
customfield_11510	customfield_10357	Bitte erl�utern Sie uns kurz Ihr Anliegen
customfield_10611	customfield_10343	Branchen Basiskompetenz
customfield_10610	customfield_10295	Branchen Schwerpunkt
	customfield_10007	Change reason
	customfield_10006	Change risk
	customfield_10005	Change type
customfield_10807	customfield_10429	CityID
customfield_10279	customfield_10241	Datum Feedback
	customfield_10033	Design
customfield_10000	customfield_10000	Development
customfield_10420	customfield_10211	Eingangsart
customfield_12604	customfield_10279	Einsatzbereitschaft (in Std./Woche)
customfield_10258	customfield_10325	Eintrittsdatum
customfield_10808	customfield_10212	E-Mail_RL_New_Auftrag
customfield_12603	customfield_10264	E-Mail_RL_New_Interessent
customfield_11512	customfield_10225	E-Mail_RL_New_Kontakt
customfield_12804	customfield_10360	Endedatum
customfield_10103	customfield_10013	Epic Color
customfield_10100		Epic Link
customfield_10102		Epic Name
customfield_10101		Epic Status
	customfield_10011	Epic-Name
	customfield_10012	Epic-Status
	customfield_10014	Epic-Verkn�pfung
customfield_10277	customfield_10201	Erl�ut. zu Auf richtigem Weg
customfield_10276	customfield_10232	Erl�ut. zu Hilfreich
customfield_12903	customfield_10204	Erl�ut. zu Weitere Unterst�tzung
customfield_10606	customfield_10421	Erstkontakt
customfield_11805		External issue ID
customfield_10605	customfield_10372	Fachthemen
customfield_11704	customfield_10260	Feedback angefordert
customfield_10313	customfield_10250	Feedback gew�nscht
customfield_12900	customfield_10447	Feedbackbeauftragter
customfield_12901	customfield_10439	Feedbackbeauftragter-E-Mail
customfield_10238	customfield_10245	Feedback-Status
customfield_11453	customfield_10438	Finanzbeauftragter
customfield_11454	customfield_10446	Finanzbeauftragter-E-Mail
	customfield_10021	Flagged
	customfield_10035	Fokusbereiche
	customfield_10030	Formulare insgesamt
	customfield_10025	Genehmigungen
customfield_11468	customfield_10214	Gesamtaufwand in Std.
	customfield_10031	Gesendete Formulare
	customfield_10032	Gesperrte Formulare
customfield_10263	customfield_10272	Gew�nschte Einsatzgebiete
customfield_10316	customfield_10411	Gr�ndungsberatung
customfield_10317	customfield_10413	Gr�ndungszuschuss beantragt
customfield_10318	customfield_10415	Gr�ndungszuschuss genehmigt
customfield_10321	customfield_10206	Hilfreich
customfield_10416	customfield_10428	Hinweise
customfield_10602	customfield_10461	Hinweise zur Branche
customfield_10419	customfield_10431	I.Ort
customfield_11902	customfield_10422	I.PLZ
customfield_10335	customfield_10430	I.Stra�e
customfield_10278	customfield_10233	Idee zur Weiterentwicklung
	customfield_10004	Impact
customfield_12602	customfield_10263	Infos zusenden
	customfield_10224	Intern
customfield_10429		issueFunction
customfield_10221	customfield_10400	K.E-Mail
customfield_10428	customfield_10396	K.Fax
customfield_11402	customfield_10388	K.Firma
customfield_12600	customfield_10407	K.ID
customfield_11305	customfield_10405	K.Land
customfield_10207	customfield_10395	K.Nachname
customfield_11202	customfield_10391	K.Ort
customfield_11201	customfield_10389	K.PLZ
customfield_13200	customfield_10394	K.Rechnung-Anrede
customfield_11007	customfield_10402	K.Rechnung-E-Mail
customfield_10222	customfield_10401	K.Rechnung-Firma
customfield_11300	customfield_10374	K.Rechnung-Land
customfield_11401	customfield_10375	K.Rechnung-Nachname
customfield_10210	customfield_10397	K.Rechnung-Ort
customfield_10209	customfield_10404	K.Rechnung-PLZ
customfield_10208	customfield_10403	K.Rechnung-Strasse
customfield_11400	customfield_10386	K.Rechnung-Vorname
customfield_11200	customfield_10399	K.Strasse
customfield_10256	customfield_10387	K.Tel.
customfield_10206	customfield_10392	K.Vorname
customfield_10257	customfield_10398	K.Wei.Tel
	customfield_10103	Kategorie
customfield_10329	customfield_10243	Kommentare FB
customfield_10609	customfield_10301	Kompetenzen Basiskompetenz
customfield_10608	customfield_10319	Kompetenzen Schwerpunkt
customfield_11508	customfield_10354	Kon. E-Mail
customfield_11505	customfield_10348	Kon. Firmenname
customfield_11500	customfield_10351	Kon. Nachname
customfield_11504	customfield_10355	Kon. Ort
customfield_11503	customfield_10352	Kon. Postleitzahl
customfield_11502	customfield_10350	Kon. Stra�e, Hausnummer
customfield_11507	customfield_10349	Kon. Telefax
customfield_11506	customfield_10347	Kon. Telefon
customfield_11501	customfield_10353	Kon. Vorname
customfield_11509	customfield_10356	Kon. Website
customfield_10320	customfield_10242	Kontakt nicht m�glich
customfield_10267	customfield_10247	Kontodaten
customfield_10407	customfield_10434	Kontoinhaber
customfield_11304	customfield_10424	Kreis(zur autom. Anzeige)
customfield_10311	customfield_10419	Kunde mit Beratung zufrieden
customfield_10319	customfield_10416	Kunde steht als Referenz zur Verf�gung
customfield_10314	customfield_10216	Kurze Zusammenfassung der geleisteten Beratung
customfield_10425	customfield_10252	Leistung
customfield_11456	customfield_10453	Leistung 1
customfield_11458	customfield_10449	Leistung 2
customfield_11460	customfield_10451	Leistung 3
customfield_11462	customfield_10454	Leistung 4
customfield_11464	customfield_10455	Leistung 5
customfield_11466	customfield_10452	Leistung 6
customfield_13000	customfield_10222	L�sung
	customfield_10324	M.Alter
	customfield_10316	M.Datum Statuswechsel
customfield_10217	customfield_10327	M.E-Mail AS
customfield_10262	customfield_10328	M.E-Mail privat
customfield_11006	customfield_10326	M.Fax
customfield_10214	customfield_10274	M.Geburtsdatum
	customfield_10313	M.Jahre-im-Verein
customfield_10212	customfield_10270	M.Nachname
	customfield_10307	M.N�chster-Geburtstag
	customfield_10345	M.N�chstes-Jubil�um
customfield_10216	customfield_10322	M.Nummer
customfield_10220	customfield_10330	M.Ort
customfield_10219	customfield_10277	M.PLZ
customfield_13300	customfield_10321	M.Status�nderung
customfield_10218	customfield_10275	M.Strasse
customfield_10213	customfield_10267	M.Tel-Fest
customfield_10261	customfield_10290	M.Tel-Mobil
customfield_10211	customfield_10273	M.Vorname
customfield_12611	customfield_10259	Mitgliedsnummer-Basis
	customfield_10205	Mitgliedsstatus
customfield_10233		Nachname
	customfield_10029	Offene Formulare
	customfield_10002	Organizations
customfield_12704		Original story points
customfield_11009	customfield_10366	P.E-Mail
customfield_11008	customfield_10364	P.Fax
customfield_10337	customfield_10361	P.Ort
customfield_11900	customfield_10369	P.PLZ
