id                name                                                         schema
--                ----                                                         ------
customfield_13100 Bezahldatum                                                  @{type=date; custom=com.atlassian.jira.…
customfield_12800 Partnertyp                                                   @{type=option; custom=com.atlassian.jir…
customfield_10501 Rechnungsdatum                                               @{type=date; custom=com.atlassian.jira.…
customfield_12802 P.Telefon-Mobil                                              @{type=string; custom=com.atlassian.jir…
customfield_10502 Zusatzvereinbarung                                           @{type=string; custom=com.atlassian.jir…
customfield_12801 Partnerstatus                                                @{type=option; custom=com.atlassian.jir…
customfield_12804 Endedatum                                                    @{type=date; custom=com.atlassian.jira.…
customfield_12803 Beginndatum                                                  @{type=date; custom=com.atlassian.jira.…
customfield_12002 Abschlussberichtsnummer                                      @{type=string; custom=com.atlassian.jir…
customfield_12001 AbschlussberichtsnummerIntern                                @{type=string; custom=com.atlassian.jir…
customfield_10610 Branchen Schwerpunkt                                         @{type=array; items=option; custom=com.…
customfield_10611 Branchen Basiskompetenz                                      @{type=array; items=option; custom=com.…
customfield_11702 Warning                                                      @{type=string; custom=com.atlassian.jir…
customfield_11704 Feedback angefordert                                         @{type=option; custom=com.atlassian.jir…
customfield_11706 RegionF                                                      @{type=string; custom=com.atlassian.jir…
customfield_11705 V.Name Vorstand                                              @{type=string; custom=com.atlassian.jir…
customfield_10292 Bank Konto IBAN                                              @{type=string; custom=com.atlassian.jir…
customfield_10293 Bank Konto BIC                                               @{type=string; custom=com.atlassian.jir…
customfield_10297 Auftrag mail comment                                         @{type=string; custom=com.atlassian.jir…
customfield_13200 K.Rechnung-Anrede                                            @{type=option; custom=com.atlassian.jir…
customfield_10298 Rechnung comment field 1                                     @{type=string; custom=com.atlassian.jir…
customfield_10299 Rechnung comment field 2                                     @{type=string; custom=com.atlassian.jir…
customfield_11810 Webseite                                                     @{type=string; custom=com.atlassian.jir…
customfield_10600 Termine                                                      @{type=string; custom=com.atlassian.jir…
customfield_12901 Feedbackbeauftragter-E-Mail                                  @{type=string; custom=com.atlassian.jir…
customfield_12900 Feedbackbeauftragter                                         @{type=string; custom=com.atlassian.jir…
customfield_10602 Hinweise zur Branche                                         @{type=string; custom=com.atlassian.jir…
customfield_12903 Erläut. zu Weitere Unterstützung                             @{type=string; custom=com.atlassian.jir…
customfield_10603 Wünsche im Detail                                            @{type=string; custom=com.atlassian.jir…
customfield_10604 Art des Unternehmens                                         @{type=array; items=option; custom=com.…
customfield_12902 Bei Nein, warum                                              @{type=string; custom=com.atlassian.jir…
customfield_10605 Fachthemen                                                   @{type=array; items=option; custom=com.…
customfield_10606 Erstkontakt                                                  @{type=array; items=option; custom=com.…
customfield_10608 Kompetenzen Schwerpunkt                                      @{type=array; items=option; custom=com.…
customfield_10609 Kompetenzen Basiskompetenz                                   @{type=array; items=option; custom=com.…
customfield_11010 P.Strasse                                                    @{type=string; custom=com.atlassian.jir…
customfield_12101 Auftragsentwurf                                              @{type=option; custom=com.atlassian.jir…
customfield_11012 RechnungNummerIntern                                         @{type=number; custom=com.atlassian.jir…
customfield_12100 Stornodatum                                                  @{type=date; custom=com.atlassian.jira.…
customfield_11013 Rechnungsnummer                                              @{type=string; custom=com.atlassian.jir…
customfield_10287 Region Name                                                  @{type=string; custom=com.atlassian.jir…
customfield_10289 Bank Name                                                    @{type=string; custom=com.atlassian.jir…
customfield_11006 M.Fax                                                        @{type=string; custom=com.atlassian.jir…
customfield_11007 K.Rechnung-E-Mail                                            @{type=string; custom=com.atlassian.jir…
customfield_11008 P.Fax                                                        @{type=string; custom=com.atlassian.jir…
customfield_11009 P.E-Mail                                                     @{type=string; custom=com.atlassian.jir…
customfield_11803 V.LfdNr                                                      @{type=string; custom=com.atlassian.jir…
customfield_11802 V.JahresMaxKeyS                                              @{type=string; custom=com.atlassian.jir…
customfield_11805 External issue ID                                            @{type=string; custom=com.atlassian.jir…
customfield_11807 AS Berater                                                   @{type=string; custom=com.atlassian.jir…
customfield_11806 Anrede                                                       @{type=option; custom=com.atlassian.jir…
customfield_10271 Weitere Informationen                                        @{type=string; custom=com.atlassian.jir…
customfield_13300 M.Statusänderung                                             @{type=option; custom=com.atlassian.jir…
customfield_10276 Erläut. zu Hilfreich                                         @{type=string; custom=com.atlassian.jir…
customfield_10277 Erläut. zu Auf richtigem Weg                                 @{type=string; custom=com.atlassian.jir…
customfield_10278 Idee zur Weiterentwicklung                                   @{type=string; custom=com.atlassian.jir…
customfield_10279 Datum Feedback                                               @{type=date; custom=com.atlassian.jira.…
